class,support,pred_pos,tp,fp,fn,precision,recall,f1,ap_bin
person,885,715,705,10,180,0.986013986013986,0.7966101694915254,0.8812500000000001,0.935468768519616
bicycle,80,82,58,24,22,0.7073170731707317,0.725,0.7160493827160495,0.5311382113821138
car,332,241,201,40,131,0.8340248962655602,0.6054216867469879,0.7015706806282722,0.6141034261527437
motorcycle,50,35,33,2,17,0.9428571428571428,0.66,0.7764705882352942,0.636452380952381
airplane,22,18,18,0,4,1.0,0.8181818181818182,0.9,0.8215151515151515
bus,67,70,46,24,21,0.6571428571428571,0.6865671641791045,0.6715328467153284,0.4686727078891258
train,47,44,41,3,6,0.9318181818181818,0.8723404255319149,0.9010989010989012,0.817862669245648
truck,176,62,44,18,132,0.7096774193548387,0.25,0.3697478991596639,0.2874193548387097
boat,52,37,35,2,17,0.9459459459459459,0.6730769230769231,0.7865168539325843,0.6508610533610534
traffic light,85,71,55,16,30,0.7746478873239436,0.6470588235294118,0.7051282051282052,0.5262427506213754
fire hydrant,11,15,11,4,0,0.7333333333333333,1.0,0.846153846153846,0.7333333333333333
stop sign,17,31,8,23,9,0.25806451612903225,0.47058823529411764,0.3333333333333333,0.12894212523719165
parking meter,6,10,0,10,6,0.0,0.0,0.0,0.005
bench,208,113,83,30,125,0.7345132743362832,0.39903846153846156,0.5171339563862928,0.3972657136373951
bird,34,14,13,1,21,0.9285714285714286,0.38235294117647056,0.5416666666666667,0.3725420168067227
cat,24,26,22,4,2,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.7773076923076923
dog,93,81,76,5,17,0.9382716049382716,0.8172043010752689,0.8735632183908048,0.7809262577990177
horse,30,24,23,1,7,0.9583333333333334,0.7666666666666667,0.8518518518518519,0.7405555555555556
sheep,0,0,0,0,0,0.0,0.0,0.0,nan
cow,3,1,1,0,2,1.0,0.3333333333333333,0.5,0.33499999999999996
elephant,2,1,1,0,1,1.0,0.5,0.6666666666666666,0.5008333333333334
bear,20,19,16,3,4,0.8421052631578947,0.8,0.8205128205128205,0.6770175438596491
zebra,22,21,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.9553787878787879
giraffe,24,21,21,0,3,1.0,0.875,0.9333333333333333,0.8775
backpack,183,102,46,56,137,0.45098039215686275,0.25136612021857924,0.32280701754385965,0.22752785813779064
umbrella,104,146,84,62,20,0.5753424657534246,0.8076923076923077,0.672,0.4813663505444327
handbag,242,105,64,41,178,0.6095238095238096,0.2644628099173554,0.3688760806916427,0.3095297127115309
tie,34,13,5,8,29,0.38461538461538464,0.14705882352941177,0.21276595744680854,0.08072775263951736
suitcase,58,46,21,25,37,0.45652173913043476,0.3620689655172414,0.4038461538461538,0.19612568715642176
frisbee,4,1,1,0,3,1.0,0.25,0.4,0.2525
skis,41,0,0,0,41,0.0,0.0,0.0,0.034166666666666665
snowboard,9,19,6,13,3,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.21302631578947367
sports ball,93,1,1,0,92,1.0,0.010752688172043012,0.021276595744680854,0.08741935483870968
kite,4,3,3,0,1,1.0,0.75,0.8571428571428571,0.7508333333333334
baseball bat,17,9,6,3,11,0.6666666666666666,0.35294117647058826,0.46153846153846156,0.24446078431372548
baseball glove,23,5,5,0,18,1.0,0.21739130434782608,0.3571428571428571,0.23239130434782607
skateboard,52,39,34,5,18,0.8717948717948718,0.6538461538461539,0.7472527472527474,0.5850197238658777
surfboard,23,20,19,1,4,0.95,0.8260869565217391,0.8837209302325583,0.7881159420289855
tennis racket,70,63,63,0,7,1.0,0.9,0.9473684210526316,0.9058333333333334
bottle,289,300,168,132,121,0.56,0.5813148788927336,0.5704584040747029,0.42636966551326416
wine glass,56,32,24,8,32,0.75,0.42857142857142855,0.5454545454545454,0.34809523809523807
cup,288,165,122,43,166,0.7393939393939394,0.4236111111111111,0.5386313465783665,0.45154882154882153
fork,118,145,96,49,22,0.6620689655172414,0.8135593220338984,0.7300380228136882,0.5569657120592246
knife,143,148,100,48,43,0.6756756756756757,0.6993006993006993,0.6872852233676975,0.5083338058338058
spoon,110,113,69,44,41,0.6106194690265486,0.6272727272727273,0.6188340807174888,0.4171916063287745
bowl,221,110,87,23,134,0.7909090909090909,0.3936651583710407,0.525679758308157,0.4230200191964898
banana,19,20,13,7,6,0.65,0.6842105263157895,0.6666666666666667,0.4497368421052632
apple,40,14,12,2,28,0.8571428571428571,0.3,0.4444444444444444,0.28047619047619043
sandwich,34,20,17,3,17,0.85,0.5,0.6296296296296295,0.43916666666666665
orange,18,16,8,8,10,0.5,0.4444444444444444,0.47058823529411764,0.23055555555555554
broccoli,24,9,8,1,16,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.3096296296296296
carrot,16,17,6,11,10,0.35294117647058826,0.375,0.3636363636363636,0.14068627450980392
hot dog,9,6,4,2,5,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.30046296296296293
pizza,27,19,17,2,10,0.8947368421052632,0.6296296296296297,0.7391304347826088,0.5716861598440546
donut,13,8,8,0,5,1.0,0.6153846153846154,0.761904761904762,0.6195512820512821
cake,47,29,27,2,20,0.9310344827586207,0.574468085106383,0.7105263157894737,0.5515162631450233
chair,442,407,321,86,121,0.7886977886977887,0.7262443438914027,0.7561837455830389,0.6736206414147591
couch,138,113,94,19,44,0.831858407079646,0.6811594202898551,0.7490039840637451,0.6032948569962806
potted plant,167,82,70,12,97,0.8536585365853658,0.41916167664670656,0.5622489959839357,0.4386542768122291
bed,63,30,29,1,34,0.9666666666666667,0.4603174603174603,0.6236559139784946,0.4733068783068783
dining table,344,34,33,1,311,0.9705882352941176,0.09593023255813954,0.1746031746031746,0.3522754217966257
toilet,133,123,107,16,26,0.8699186991869918,0.8045112781954887,0.8359375,0.7215260712757503
tv,130,86,72,14,58,0.8372093023255814,0.5538461538461539,0.6666666666666667,0.5120184853905785
laptop,49,31,21,10,28,0.6774193548387096,0.42857142857142855,0.525,0.31365591397849457
mouse,19,12,10,2,9,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.44609649122807016
remote,28,1,1,0,27,1.0,0.03571428571428571,0.0689655172413793,0.05821428571428572
keyboard,22,20,13,7,9,0.65,0.5909090909090909,0.6190476190476191,0.39159090909090916
cell phone,123,69,45,24,78,0.6521739130434783,0.36585365853658536,0.46874999999999994,0.3036002120890774
microwave,33,40,21,19,12,0.525,0.6363636363636364,0.5753424657534246,0.3440909090909091
oven,67,47,31,16,36,0.6595744680851063,0.4626865671641791,0.5438596491228069,0.33517624642743726
toaster,4,18,1,17,3,0.05555555555555555,0.25,0.0909090909090909,0.016388888888888887
sink,191,161,146,15,45,0.906832298136646,0.7643979057591623,0.8295454545454547,0.7306807095704205
refrigerator,43,64,33,31,10,0.515625,0.7674418604651163,0.616822429906542,0.40404554263565895
book,167,97,74,23,93,0.7628865979381443,0.4431137724550898,0.5606060606060607,0.4155455583678005
clock,104,40,34,6,70,0.85,0.3269230769230769,0.4722222222222222,0.33621794871794874
vase,69,47,37,10,32,0.7872340425531915,0.5362318840579711,0.6379310344827587,0.44880666049953755
scissors,4,0,0,0,4,0.0,0.0,0.0,0.0033333333333333335
teddy bear,22,14,10,4,12,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.3346753246753247
hair drier,8,0,0,0,8,0.0,0.0,0.0,0.006666666666666667
toothbrush,29,25,11,14,18,0.44,0.3793103448275862,0.4074074074074074,0.18189655172413793
