class,support,pred_pos,tp,fp,fn,precision,recall,f1,ap_bin
person,885,661,660,1,225,0.9984871406959153,0.7457627118644068,0.853816300129366,0.9321344778071232
bicycle,80,36,36,0,44,1.0,0.45,0.6206896551724138,0.4866666666666667
car,332,97,92,5,240,0.9484536082474226,0.27710843373493976,0.42890442890442887,0.46282449385169544
motorcycle,50,32,32,0,18,1.0,0.64,0.7804878048780487,0.655
airplane,22,15,15,0,7,1.0,0.6818181818181818,0.8108108108108109,0.6876515151515151
bus,67,40,40,0,27,1.0,0.5970149253731343,0.7476635514018691,0.6195149253731342
train,47,38,36,2,11,0.9473684210526315,0.7659574468085106,0.8470588235294116,0.7348105636431503
truck,176,27,26,1,150,0.9629629629629629,0.14772727272727273,0.25615763546798026,0.26725589225589225
boat,52,28,28,0,24,1.0,0.5384615384615384,0.7000000000000001,0.5584615384615385
traffic light,85,21,21,0,64,1.0,0.24705882352941178,0.39622641509433965,0.3003921568627451
fire hydrant,11,7,7,0,4,1.0,0.6363636363636364,0.7777777777777778,0.6396969696969697
stop sign,17,5,4,1,13,0.8,0.23529411764705882,0.3636363636363636,0.1990686274509804
parking meter,6,0,0,0,6,0.0,0.0,0.0,0.005
bench,208,72,66,6,142,0.9166666666666666,0.3173076923076923,0.47142857142857136,0.4091987179487179
bird,34,12,12,0,22,1.0,0.35294117647058826,0.5217391304347826,0.37127450980392157
cat,24,24,24,0,0,1.0,1.0,1.0,1.0
dog,93,86,81,5,12,0.9418604651162791,0.8709677419354839,0.9050279329608939,0.8303300825206302
horse,30,24,24,0,6,1.0,0.8,0.888888888888889,0.805
sheep,0,0,0,0,0,0.0,0.0,0.0,nan
cow,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.6675
elephant,2,1,1,0,1,1.0,0.5,0.6666666666666666,0.5008333333333334
bear,20,14,14,0,6,1.0,0.7,0.8235294117647058,0.705
zebra,22,21,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.9553787878787879
giraffe,24,21,21,0,3,1.0,0.875,0.9333333333333333,0.8775
backpack,183,37,36,1,147,0.972972972972973,0.19672131147540983,0.32727272727272727,0.3139045192733717
umbrella,104,77,75,2,29,0.974025974025974,0.7211538461538461,0.8287292817679558,0.7265892440892441
handbag,242,24,22,2,220,0.9166666666666666,0.09090909090909091,0.16541353383458646,0.26666666666666666
tie,34,7,6,1,28,0.8571428571428571,0.17647058823529413,0.29268292682926833,0.174593837535014
suitcase,58,20,13,7,45,0.65,0.22413793103448276,0.33333333333333337,0.1831896551724138
frisbee,4,2,2,0,2,1.0,0.5,0.6666666666666666,0.5016666666666667
skis,41,0,0,0,41,0.0,0.0,0.0,0.034166666666666665
snowboard,9,10,5,5,4,0.5,0.5555555555555556,0.5263157894736842,0.28111111111111114
sports ball,93,8,8,0,85,1.0,0.08602150537634409,0.15841584158415845,0.15685483870967742
kite,4,3,3,0,1,1.0,0.75,0.8571428571428571,0.7508333333333334
baseball bat,17,8,8,0,9,1.0,0.47058823529411764,0.6399999999999999,0.47808823529411765
baseball glove,23,8,8,0,15,1.0,0.34782608695652173,0.5161290322580645,0.36032608695652174
skateboard,52,38,36,2,16,0.9473684210526315,0.6923076923076923,0.7999999999999999,0.6692037786774628
surfboard,23,19,19,0,4,1.0,0.8260869565217391,0.9047619047619047,0.8294202898550724
tennis racket,70,42,42,0,28,1.0,0.6,0.7499999999999999,0.6233333333333333
bottle,289,123,98,25,191,0.7967479674796748,0.3391003460207612,0.47572815533980584,0.42934417813036263
wine glass,56,16,16,0,40,1.0,0.2857142857142857,0.4444444444444445,0.319047619047619
cup,288,95,95,0,193,1.0,0.3298611111111111,0.4960835509138381,0.49069444444444443
fork,118,36,35,1,83,0.9722222222222222,0.2966101694915254,0.45454545454545453,0.35753766478342747
knife,143,27,26,1,117,0.9629629629629629,0.18181818181818182,0.3058823529411765,0.2725841750841751
spoon,110,32,26,6,84,0.8125,0.23636363636363636,0.36619718309859156,0.2620454545454545
bowl,221,71,65,6,156,0.9154929577464789,0.29411764705882354,0.44520547945205485,0.39926263463131734
banana,19,11,11,0,8,1.0,0.5789473684210527,0.7333333333333334,0.5856140350877194
apple,40,13,11,2,29,0.8461538461538461,0.275,0.41509433962264153,0.25685897435897437
sandwich,34,31,23,8,11,0.7419354838709677,0.6764705882352942,0.7076923076923077,0.5110641998734978
orange,18,10,9,1,9,0.9,0.5,0.6428571428571429,0.4575
broccoli,24,9,9,0,15,1.0,0.375,0.5454545454545454,0.3875
carrot,16,10,3,7,13,0.3,0.1875,0.23076923076923075,0.06708333333333333
hot dog,9,0,0,0,9,0.0,0.0,0.0,0.0075
pizza,27,24,22,2,5,0.9166666666666666,0.8148148148148148,0.8627450980392156,0.7510802469135801
donut,13,10,10,0,3,1.0,0.7692307692307693,0.8695652173913044,0.7717307692307692
cake,47,29,26,3,21,0.896551724137931,0.5531914893617021,0.6842105263157894,0.5134647835656639
chair,442,250,246,4,196,0.984,0.5565610859728507,0.7109826589595376,0.7109894419306184
couch,138,95,89,6,49,0.9368421052631579,0.644927536231884,0.7639484978540773,0.6450286041189932
potted plant,167,6,3,3,164,0.5,0.017964071856287425,0.03468208092485549,0.14564870259481036
bed,63,43,43,0,20,1.0,0.6825396825396826,0.8113207547169812,0.6992063492063493
dining table,344,87,85,2,259,0.9770114942528736,0.24709302325581395,0.3944315545243619,0.45724605720395617
toilet,133,100,100,0,33,1.0,0.7518796992481203,0.8583690987124464,0.7793796992481202
tv,130,5,5,0,125,1.0,0.038461538461538464,0.07407407407407407,0.14262820512820512
laptop,49,21,20,1,29,0.9523809523809523,0.40816326530612246,0.5714285714285714,0.41289358600583087
mouse,19,8,8,0,11,1.0,0.42105263157894735,0.5925925925925926,0.430219298245614
remote,28,0,0,0,28,0.0,0.0,0.0,0.023333333333333334
keyboard,22,13,13,0,9,1.0,0.5909090909090909,0.7428571428571429,0.5984090909090909
cell phone,123,21,21,0,102,1.0,0.17073170731707318,0.2916666666666667,0.2557317073170732
microwave,33,15,14,1,19,0.9333333333333333,0.42424242424242425,0.5833333333333333,0.41179292929292927
oven,67,35,35,0,32,1.0,0.5223880597014925,0.6862745098039216,0.5490547263681591
toaster,4,1,1,0,3,1.0,0.25,0.4,0.2525
sink,191,149,146,3,45,0.9798657718120806,0.7643979057591623,0.8588235294117648,0.7865073438982396
refrigerator,43,31,27,4,16,0.8709677419354839,0.627906976744186,0.7297297297297297,0.5602200550137534
book,167,29,28,1,139,0.9655172413793104,0.16766467065868262,0.28571428571428564,0.27771646362447516
clock,104,22,22,0,82,1.0,0.21153846153846154,0.34920634920634924,0.27987179487179487
vase,69,30,29,1,40,0.9666666666666667,0.42028985507246375,0.5858585858585859,0.43961352657004826
scissors,4,0,0,0,4,0.0,0.0,0.0,0.0033333333333333335
teddy bear,22,14,14,0,8,1.0,0.6363636363636364,0.7777777777777778,0.6430303030303031
hair drier,8,0,0,0,8,0.0,0.0,0.0,0.006666666666666667
toothbrush,29,8,8,0,21,1.0,0.27586206896551724,0.4324324324324324,0.29336206896551725
