class,support,pred_pos,tp,fp,fn,precision,recall,f1,ap_bin
person,629,457,452,5,177,0.9890590809628009,0.7186009538950715,0.8324125230202578,0.8582387990384515
bicycle,36,29,24,5,12,0.8275862068965517,0.6666666666666666,0.7384615384615385,0.5617241379310345
car,146,117,107,10,39,0.9145299145299145,0.7328767123287672,0.8136882129277568,0.7027376770869922
motorcycle,18,13,12,1,6,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.6203846153846154
airplane,7,5,5,0,2,1.0,0.7142857142857143,0.8333333333333333,0.715952380952381
bus,49,45,36,9,13,0.8,0.7346938775510204,0.7659574468085106,0.5985884353741497
train,12,10,10,0,2,1.0,0.8333333333333334,0.9090909090909091,0.8350000000000001
truck,107,25,24,1,83,0.96,0.22429906542056074,0.36363636363636365,0.284493769470405
boat,7,5,4,1,3,0.8,0.5714285714285714,0.6666666666666666,0.45964285714285713
traffic light,72,72,60,12,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7044444444444445
fire hydrant,16,17,12,5,4,0.7058823529411765,0.75,0.7272727272727272,0.5327450980392157
stop sign,9,19,4,15,5,0.21052631578947367,0.4444444444444444,0.2857142857142857,0.09773391812865496
parking meter,23,18,16,2,7,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.6241908212560386
bench,89,34,25,9,64,0.7352941176470589,0.2808988764044944,0.40650406504065045,0.2598766248072263
bird,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857,0.17083333333333334
cat,35,36,28,8,7,0.7777777777777778,0.8,0.7887323943661971,0.6280555555555556
dog,88,71,70,1,18,0.9859154929577465,0.7954545454545454,0.8805031446540881,0.7992509603072984
horse,3,3,3,0,0,1.0,1.0,1.0,1.0
sheep,2,2,2,0,0,1.0,1.0,1.0,1.0
cow,0,0,0,0,0,0.0,0.0,0.0,nan
elephant,2,1,1,0,1,1.0,0.5,0.6666666666666666,0.5008333333333334
bear,0,0,0,0,0,0.0,0.0,0.0,nan
zebra,1,1,1,0,0,1.0,1.0,1.0,1.0
giraffe,1,1,1,0,0,1.0,1.0,1.0,1.0
backpack,134,70,47,23,87,0.6714285714285714,0.35074626865671643,0.4607843137254903,0.30800106609808103
umbrella,49,60,38,22,11,0.6333333333333333,0.7755102040816326,0.6972477064220183,0.5003231292517006
handbag,171,66,49,17,122,0.7424242424242424,0.28654970760233917,0.41350210970464135,0.3144081162502215
tie,18,8,3,5,15,0.375,0.16666666666666666,0.23076923076923078,0.075
suitcase,61,52,41,11,20,0.7884615384615384,0.6721311475409836,0.7256637168141593,0.54661622530475
frisbee,21,20,18,2,3,0.9,0.8571428571428571,0.8780487804878048,0.7739285714285713
skis,22,0,0,0,22,0.0,0.0,0.0,0.018333333333333333
snowboard,5,13,4,9,1,0.3076923076923077,0.8,0.4444444444444444,0.2469871794871795
sports ball,36,5,1,4,35,0.2,0.027777777777777776,0.048780487804878044,0.03472222222222222
kite,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334
baseball bat,76,35,34,1,42,0.9714285714285714,0.4473684210526316,0.6126126126126126,0.4695864661654135
baseball glove,71,19,15,4,56,0.7894736842105263,0.2112676056338028,0.33333333333333337,0.21345688164072152
skateboard,7,7,4,3,3,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32903061224489794
surfboard,0,0,0,0,0,0.0,0.0,0.0,nan
tennis racket,25,25,23,2,2,0.92,0.92,0.92,0.8480666666666667
bottle,260,261,173,88,87,0.6628352490421456,0.6653846153846154,0.6641074856046064,0.5135403772472737
wine glass,102,58,47,11,55,0.8103448275862069,0.46078431372549017,0.5875,0.4192275185936443
cup,340,186,139,47,201,0.7473118279569892,0.4088235294117647,0.5285171102661597,0.47301865907653384
fork,160,160,125,35,35,0.78125,0.78125,0.78125,0.6395182291666667
knife,218,201,159,42,59,0.7910447761194029,0.7293577981651376,0.7589498806682576,0.6261213428271486
spoon,166,140,99,41,67,0.7071428571428572,0.5963855421686747,0.6470588235294117,0.47756310958118187
bowl,244,126,105,21,139,0.8333333333333334,0.430327868852459,0.5675675675675674,0.4744398907103825
banana,19,12,8,4,11,0.6666666666666666,0.42105263157894735,0.5161290322580646,0.28986842105263155
apple,23,12,6,6,17,0.5,0.2608695652173913,0.3428571428571428,0.1446014492753623
sandwich,45,18,15,3,30,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.3027777777777778
orange,31,8,5,3,26,0.625,0.16129032258064516,0.2564102564102564,0.12247311827956989
broccoli,17,10,7,3,10,0.7,0.4117647058823529,0.5185185185185185,0.2965686274509804
carrot,36,25,20,5,16,0.8,0.5555555555555556,0.6557377049180328,0.4577777777777778
hot dog,7,1,1,0,6,1.0,0.14285714285714285,0.25,0.14785714285714285
pizza,46,37,37,0,9,1.0,0.8043478260869565,0.891566265060241,0.8118478260869565
donut,4,1,1,0,3,1.0,0.25,0.4,0.2525
cake,58,41,38,3,20,0.926829268292683,0.6551724137931034,0.7676767676767676,0.6238996355480797
chair,380,374,293,81,87,0.7834224598930482,0.7710526315789473,0.7771883289124669,0.6765599493385871
couch,200,159,153,6,47,0.9622641509433962,0.765,0.852367688022284,0.7752987421383648
potted plant,158,79,64,15,94,0.810126582278481,0.4050632911392405,0.540084388185654,0.4064858729904396
bed,43,30,19,11,24,0.6333333333333333,0.4418604651162791,0.5205479452054794,0.29984496124031007
dining table,339,43,37,6,302,0.8604651162790697,0.10914454277286136,0.193717277486911,0.3455817383549427
toilet,22,20,19,1,3,0.95,0.8636363636363636,0.9047619047619048,0.8229545454545454
tv,259,154,122,32,137,0.7922077922077922,0.47104247104247104,0.5907990314769975,0.48733018268732553
laptop,124,118,89,29,35,0.7542372881355932,0.717741935483871,0.7355371900826446,0.5705143976672135
mouse,133,120,107,13,26,0.8916666666666667,0.8045112781954887,0.8458498023715416,0.7390225563909776
remote,118,20,20,0,98,1.0,0.1694915254237288,0.2898550724637681,0.25115819209039547
keyboard,137,133,114,19,23,0.8571428571428571,0.8321167883211679,0.8444444444444443,0.7324096280848105
cell phone,137,86,61,25,76,0.7093023255813954,0.44525547445255476,0.5470852017937219,0.379154076840378
microwave,109,119,80,39,29,0.6722689075630253,0.7339449541284404,0.7017543859649124,0.5175750391899879
oven,130,112,83,29,47,0.7410714285714286,0.6384615384615384,0.6859504132231404,0.5123122710622711
toaster,85,82,48,34,37,0.5853658536585366,0.5647058823529412,0.5748502994011976,0.3613928742228598
sink,149,139,128,11,21,0.920863309352518,0.8590604026845637,0.888888888888889,0.8085772053498141
refrigerator,100,117,82,35,18,0.7008547008547008,0.82,0.7557603686635944,0.5897008547008546
book,240,159,133,26,107,0.8364779874213837,0.5541666666666667,0.6666666666666667,0.5527148846960168
clock,111,62,54,8,57,0.8709677419354839,0.4864864864864865,0.6242774566473989,0.4712140366172624
vase,105,65,51,14,54,0.7846153846153846,0.4857142857142857,0.6000000000000001,0.4260989010989011
scissors,24,0,0,0,24,0.0,0.0,0.0,0.02
teddy bear,10,4,2,2,8,0.5,0.2,0.28571428571428575,0.10666666666666667
hair drier,1,0,0,0,1,0.0,0.0,0.0,0.0008333333333333334
toothbrush,4,5,2,3,2,0.4,0.5,0.4444444444444445,0.2016666666666667
