class,support,pred_pos,tp,fp,fn,precision,recall,f1,ap_bin
person,629,450,449,1,180,0.9977777777777778,0.7138314785373608,0.8322520852641334,0.8622451863628334
bicycle,36,15,15,0,21,1.0,0.4166666666666667,0.5882352941176471,0.4341666666666667
car,146,85,84,1,62,0.9882352941176471,0.5753424657534246,0.7272727272727272,0.6202403975288745
motorcycle,18,8,8,0,10,1.0,0.4444444444444444,0.6153846153846153,0.4527777777777778
airplane,7,5,5,0,2,1.0,0.7142857142857143,0.8333333333333333,0.715952380952381
bus,49,34,33,1,16,0.9705882352941176,0.673469387755102,0.7951807228915663,0.6669947979191676
train,12,10,10,0,2,1.0,0.8333333333333334,0.9090909090909091,0.8350000000000001
truck,107,22,22,0,85,1.0,0.205607476635514,0.34108527131782945,0.27644080996884735
boat,7,0,0,0,7,0.0,0.0,0.0,0.005833333333333334
traffic light,72,28,28,0,44,1.0,0.3888888888888889,0.56,0.4255555555555556
fire hydrant,16,8,6,2,10,0.75,0.375,0.5,0.28958333333333336
stop sign,9,3,3,0,6,1.0,0.3333333333333333,0.5,0.3383333333333333
parking meter,23,7,7,0,16,1.0,0.30434782608695654,0.4666666666666667,0.31768115942028985
bench,89,25,23,2,66,0.92,0.25842696629213485,0.4035087719298246,0.2927528089887641
bird,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857,0.17083333333333334
cat,35,27,27,0,8,1.0,0.7714285714285715,0.870967741935484,0.7780952380952382
dog,88,76,76,0,12,1.0,0.8636363636363636,0.9268292682926829,0.8736363636363637
horse,3,3,3,0,0,1.0,1.0,1.0,1.0
sheep,2,2,2,0,0,1.0,1.0,1.0,1.0
cow,0,0,0,0,0,0.0,0.0,0.0,nan
elephant,2,2,2,0,0,1.0,1.0,1.0,1.0
bear,0,0,0,0,0,0.0,0.0,0.0,nan
zebra,1,1,1,0,0,1.0,1.0,1.0,1.0
giraffe,1,1,1,0,0,1.0,1.0,1.0,1.0
backpack,134,32,31,1,103,0.96875,0.23134328358208955,0.37349397590361444,0.3099471393034826
umbrella,49,33,33,0,16,1.0,0.673469387755102,0.8048780487804877,0.6868027210884353
handbag,171,22,20,2,151,0.9090909090909091,0.11695906432748537,0.2072538860103627,0.23215975544922912
tie,18,4,4,0,14,1.0,0.2222222222222222,0.3636363636363636,0.23388888888888887
suitcase,61,31,30,1,31,0.967741935483871,0.4918032786885246,0.6521739130434782,0.5017719901286797
frisbee,21,15,15,0,6,1.0,0.7142857142857143,0.8333333333333333,0.7192857142857143
skis,22,0,0,0,22,0.0,0.0,0.0,0.018333333333333333
snowboard,5,3,2,1,3,0.6666666666666666,0.4,0.5,0.26916666666666667
sports ball,36,6,4,2,32,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.10074074074074074
kite,5,5,5,0,0,1.0,1.0,1.0,1.0
baseball bat,76,46,46,0,30,1.0,0.6052631578947368,0.7540983606557378,0.6302631578947369
baseball glove,71,13,13,0,58,1.0,0.18309859154929578,0.30952380952380953,0.23143192488262912
skateboard,7,3,3,0,4,1.0,0.42857142857142855,0.6,0.4319047619047619
surfboard,0,0,0,0,0,0.0,0.0,0.0,nan
tennis racket,25,17,17,0,8,1.0,0.68,0.8095238095238095,0.6866666666666668
bottle,260,87,83,4,177,0.9540229885057471,0.3192307692307692,0.478386167146974,0.4520534924845269
wine glass,102,17,16,1,86,0.9411764705882353,0.1568627450980392,0.2689075630252101,0.21930219146482122
cup,340,102,99,3,241,0.9705882352941176,0.2911764705882353,0.44796380090497745,0.4834457900807382
fork,160,72,72,0,88,1.0,0.45,0.6206896551724138,0.5233333333333333
knife,218,75,75,0,143,1.0,0.3440366972477064,0.5119453924914675,0.46320336391437306
spoon,166,55,51,4,115,0.9272727272727272,0.3072289156626506,0.46153846153846145,0.38071832785688203
bowl,244,69,67,2,177,0.9710144927536232,0.27459016393442626,0.42811501597444096,0.4141310287479212
banana,19,9,9,0,10,1.0,0.47368421052631576,0.6428571428571429,0.4820175438596491
apple,23,9,8,1,15,0.8888888888888888,0.34782608695652173,0.5,0.32167874396135265
sandwich,45,35,25,10,20,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.4134920634920635
orange,31,11,10,1,21,0.9090909090909091,0.3225806451612903,0.4761904761904761,0.31075513196480936
broccoli,17,11,8,3,9,0.7272727272727273,0.47058823529411764,0.5714285714285714,0.3497459893048128
carrot,36,26,26,0,10,1.0,0.7222222222222222,0.8387096774193548,0.7305555555555555
hot dog,7,0,0,0,7,0.0,0.0,0.0,0.005833333333333334
pizza,46,40,40,0,6,1.0,0.8695652173913043,0.9302325581395349,0.8745652173913043
donut,4,1,1,0,3,1.0,0.25,0.4,0.2525
cake,58,45,44,1,14,0.9777777777777777,0.7586206896551724,0.854368932038835,0.7534291187739464
chair,380,226,215,11,165,0.9513274336283186,0.5657894736842105,0.7095709570957095,0.675751047973917
couch,200,140,140,0,60,1.0,0.7,0.8235294117647058,0.75
potted plant,158,13,13,0,145,1.0,0.08227848101265822,0.15204678362573099,0.20311181434599154
bed,43,28,28,0,15,1.0,0.6511627906976745,0.7887323943661972,0.6636627906976744
dining table,339,84,82,2,257,0.9761904761904762,0.24188790560471976,0.3877068557919622,0.45029533642365493
toilet,22,19,19,0,3,1.0,0.8636363636363636,0.9268292682926829,0.8661363636363636
tv,259,9,9,0,250,1.0,0.03474903474903475,0.06716417910447761,0.24308236808236805
laptop,124,60,60,0,64,1.0,0.4838709677419355,0.6521739130434783,0.5372043010752688
